央视频道,#genre#
CCTV-11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8

卫视频道,#genre#

江西卫视,http://198.204.228.26/live/jxwshd.m3u8
东方卫视,http://198.204.228.26/live/dfwshd.m3u8
湖南卫视,http://198.204.228.26/live/hnwshd.m3u8
江苏卫视,http://198.204.228.26/live/jswshd.m3u8
辽宁卫视,http://198.204.228.26/live/lnwshd.m3u8
广东卫视,http://198.204.228.26/live/gdwshd.m3u8
重庆卫视,http://198.204.228.26/live/cqwshd.m3u8
东南卫视,http://198.204.228.26/live/dnwshd.m3u8
广西卫视,http://198.204.228.26/live/gxwshd.m3u8
河南卫视,http://198.204.228.26/live/hawshd.m3u8
黑龙江卫视,http://198.204.228.26/live/hljwshd.m3u8
湖北卫视,http://198.204.228.26/live/hbwshd.m3u8
吉林卫视,http://198.204.228.26/live/jlwshd.m3u8
内蒙古卫视,http://198.204.228.26/live/nmgws.m3u8
宁夏卫视,http://198.204.228.26/live/nxws.m3u8
青海卫视,http://198.204.228.26/live/qhws.m3u8
山西卫视,http://198.204.228.26/live/sxwshd.m3u8
陕西卫视,http://198.204.228.26/live/snwshd.m3u8
四川卫视,http://198.204.228.26/live/scwshd.m3u8
天津卫视,http://198.204.228.26/live/tjwshd.m3u8
西藏卫视,http://198.204.228.26/live/xzws.m3u8
新疆卫视,http://198.204.228.26/live/xjws.m3u8
云南卫视,http://198.204.228.26/live/ynwshd.m3u8

江西卫视,http://61.143.15.139:59901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://61.143.15.139:59901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://61.143.15.139:59901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://61.143.15.139:59901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://61.143.15.139:59901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://61.143.15.139:59901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.143.15.139:59901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://61.143.15.139:59901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://61.143.15.139:59901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://61.143.15.139:59901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://61.143.15.139:59901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://61.143.15.139:59901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://61.143.15.139:59901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://61.143.15.139:59901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://61.143.15.139:59901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://61.143.15.139:59901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://61.143.15.139:59901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://61.143.15.139:59901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://61.143.15.139:59901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://61.143.15.139:59901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://61.143.15.139:59901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0

江西卫视,http://107.150.60.122/live/jxwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8

江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub

江西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jxwshd
广东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd
广西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxwshd
河南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hawshd
湖北卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd
内蒙古卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nmgws
青海卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=qhws
山西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sxwshd
西藏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xzws
云南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd

江西卫视,http://222.214.208.34:59901/tsfile/live/0138_1.m3u8
北京卫视,http://222.214.208.34:59901/tsfile/live/0122_1.m3u8
东方卫视,http://222.214.208.34:59901/tsfile/live/0107_1.m3u8
湖南卫视,http://222.214.208.34:59901/tsfile/live/0128_1.m3u8
浙江卫视,http://222.214.208.34:59901/tsfile/live/0124_1.m3u8
江苏卫视,http://222.214.208.34:59901/tsfile/live/0127_1.m3u8
安徽卫视,http://222.214.208.34:59901/tsfile/live/0130_1.m3u8
广东卫视,http://222.214.208.34:59901/tsfile/live/0125_1.m3u8
湖北卫视,http://222.214.208.34:59901/tsfile/live/0132_1.m3u8
山东卫视,http://222.214.208.34:59901/tsfile/live/0131_1.m3u8
深圳卫视,http://222.214.208.34:59901/tsfile/live/0126_1.m3u8

北京卫视,http://39.164.143.66:13994/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://39.164.143.66:13994/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://39.164.143.66:13994/tsfile/live/1068_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://39.164.143.66:13994/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://39.164.143.66:13994/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://39.164.143.66:13994/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://39.164.143.66:13994/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://39.164.143.66:13994/tsfile/live/1078_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://39.164.143.66:13994/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://39.164.143.66:13994/tsfile/live/1081_1.m3u8?key=txiptv&playlive=0&authid=0

湖南卫视,http://38.75.136.137:98/gslb/dsdqpub/hnwshd.m3u8?auth=testpub
河南卫视,http://38.75.136.137:98/gslb/dsdqpub/hawshd.m3u8?auth=testpub
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
湖南卫视,http://58.210.139.130:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
